sequence_id,trial,debruijn_label,assigned_condition
1,1,4,5
1,2,1,6
1,3,1,6
1,4,3,4
1,5,2,2
1,6,0,3
1,7,1,6
1,8,5,1
1,9,4,5
1,10,4,5
1,11,3,4
1,12,3,4
1,13,1,6
1,14,0,3
1,15,3,4
1,16,5,1
1,17,0,3
1,18,2,2
1,19,2,2
1,20,5,1
1,21,5,1
1,22,3,4
1,23,4,5
1,24,5,1
1,25,1,6
1,26,2,2
1,27,4,5
1,28,0,3
1,29,5,1
1,30,2,2
1,31,3,4
1,32,0,3
1,33,0,3
1,34,4,5
1,35,2,2
1,36,1,6
2,1,0,6
2,2,3,3
2,3,5,5
2,4,0,6
2,5,2,2
2,6,2,2
2,7,5,5
2,8,5,5
2,9,3,3
2,10,4,4
2,11,5,5
2,12,1,1
2,13,2,2
2,14,4,4
2,15,0,6
2,16,5,5
2,17,2,2
2,18,3,3
2,19,0,6
2,20,0,6
2,21,4,4
2,22,2,2
2,23,1,1
2,24,4,4
2,25,1,1
2,26,1,1
2,27,3,3
2,28,2,2
2,29,0,6
2,30,1,1
2,31,5,5
2,32,4,4
2,33,4,4
2,34,3,3
2,35,3,3
2,36,1,1
3,1,3,5
3,2,0,1
3,3,0,1
3,4,4,3
3,5,2,6
3,6,1,4
3,7,4,3
3,8,1,4
3,9,1,4
3,10,3,5
3,11,2,6
3,12,0,1
3,13,1,4
3,14,5,2
3,15,4,3
3,16,4,3
3,17,3,5
3,18,3,5
3,19,1,4
3,20,0,1
3,21,3,5
3,22,5,2
3,23,0,1
3,24,2,6
3,25,2,6
3,26,5,2
3,27,5,2
3,28,3,5
3,29,4,3
3,30,5,2
3,31,1,4
3,32,2,6
3,33,4,3
3,34,0,1
3,35,5,2
3,36,2,6
4,1,4,4
4,2,1,6
4,3,1,6
4,4,3,5
4,5,2,1
4,6,0,2
4,7,1,6
4,8,5,3
4,9,4,4
4,10,4,4
4,11,3,5
4,12,3,5
4,13,1,6
4,14,0,2
4,15,3,5
4,16,5,3
4,17,0,2
4,18,2,1
4,19,2,1
4,20,5,3
4,21,5,3
4,22,3,5
4,23,4,4
4,24,5,3
4,25,1,6
4,26,2,1
4,27,4,4
4,28,0,2
4,29,5,3
4,30,2,1
4,31,3,5
4,32,0,2
4,33,0,2
4,34,4,4
4,35,2,1
4,36,1,6
5,1,2,5
5,2,5,4
5,3,5,4
5,4,3,6
5,5,4,2
5,6,5,4
5,7,1,3
5,8,2,5
5,9,4,2
5,10,0,1
5,11,5,4
5,12,2,5
5,13,3,6
5,14,0,1
5,15,0,1
5,16,4,2
5,17,2,5
5,18,1,3
5,19,4,2
5,20,1,3
5,21,1,3
5,22,3,6
5,23,2,5
5,24,0,1
5,25,1,3
5,26,5,4
5,27,4,2
5,28,4,2
5,29,3,6
5,30,3,6
5,31,1,3
5,32,0,1
5,33,3,6
5,34,5,4
5,35,0,1
5,36,2,5
6,1,4,4
6,2,3,1
6,3,3,1
6,4,1,5
6,5,0,2
6,6,3,1
6,7,5,6
6,8,0,2
6,9,2,3
6,10,2,3
6,11,5,6
6,12,5,6
6,13,3,1
6,14,4,4
6,15,5,6
6,16,1,5
6,17,2,3
6,18,4,4
6,19,0,2
6,20,5,6
6,21,2,3
6,22,3,1
6,23,0,2
6,24,0,2
6,25,4,4
6,26,2,3
6,27,1,5
6,28,4,4
6,29,1,5
6,30,1,5
6,31,3,1
6,32,2,3
6,33,0,2
6,34,1,5
6,35,5,6
6,36,4,4
7,1,2,1
7,2,5,2
7,3,5,2
7,4,3,6
7,5,4,5
7,6,5,2
7,7,1,4
7,8,2,1
7,9,4,5
7,10,0,3
7,11,5,2
7,12,2,1
7,13,3,6
7,14,0,3
7,15,0,3
7,16,4,5
7,17,2,1
7,18,1,4
